customer_id,call_duration,monthly_data_usage,contract_length,churn
C00000,"[39, 52, 29, 15, 43, 8, 21, 39, 58, 19, 23, 11, 11, 24, 53, 36, 40, 24, 3, 22, 53, 2, 24, 44, 30, 38, 2, 21, 33, 12]",3.06,2,0
C00001,"[58, 22, 44, 25, 49, 27, 59, 42, 28, 16, 15, 47, 51, 44, 55, 52, 57, 3, 37, 51, 7, 21, 9, 39, 18, 4, 25, 14, 50, 58]",49.81,32,1
C00002,"[9, 26, 53, 2, 20, 28, 47, 7, 44, 8, 47, 35, 14, 17, 36, 50, 40, 4, 2, 6, 54, 42, 4, 54, 29, 18, 26, 44, 34, 10]",36.96,3,0
C00003,"[36, 14, 31, 48, 15, 8, 14, 23, 57, 40, 21, 16, 45, 18, 47, 53, 24, 26, 25, 45, 41, 29, 15, 45, 1, 25, 7, 9, 24, 1]",4.83,8,0
C00004,"[44, 8, 24, 11, 51, 17, 8, 35, 35, 33, 59, 5, 42, 39, 58, 41, 28, 7, 9, 8, 12, 34, 33, 48, 55, 23, 24, 37, 35, 44]",1.5,26,0
C00005,"[40, 22, 27, 35, 1, 35, 37, 47, 14, 3, 1, 5, 26, 55, 14, 39, 27, 9, 15, 15, 26, 42, 13, 51, 32, 39, 49, 52, 32, 4]",36.1,32,0
C00006,"[30, 37, 23, 39, 45, 15, 43, 29, 36, 13, 32, 7, 59, 51, 22, 28, 2, 42, 45, 57, 53, 6, 28, 28, 44, 44, 20, 30, 11, 58]",22.24,11,0
C00007,"[55, 28, 25, 39, 33, 1, 57, 27, 57, 52, 13, 41, 3, 39, 6, 8, 27, 9, 37, 33, 51, 42, 44, 24, 15, 59, 54, 32, 32, 24]",39.45,1,0
C00008,"[41, 52, 49, 49, 58, 52, 12, 39, 2, 3, 49, 37, 49, 56, 17, 59, 49, 2, 2, 28, 54, 23, 37, 32, 33, 1, 19, 2, 53, 44]",46.21,15,0
C00009,"[26, 32, 6, 32, 55, 4, 55, 11, 56, 59, 17, 38, 24, 5, 52, 34, 6, 22, 11, 48, 16, 33, 9, 59, 6, 16, 29, 3, 20, 59]",30.17,4,0
C00010,"[36, 19, 26, 3, 19, 20, 32, 7, 52, 41, 33, 40, 39, 18, 40, 1, 11, 28, 57, 25, 50, 23, 31, 30, 42, 35, 7, 16, 26, 48]",9.76,4,0
C00011,"[57, 52, 49, 2, 1, 48, 12, 5, 37, 32, 59, 55, 9, 41, 35, 19, 48, 16, 3, 20, 24, 54, 56, 33, 24, 52, 11, 49, 8, 36]",39.22,28,0
C00012,"[38, 40, 20, 35, 48, 25, 35, 25, 29, 18, 46, 18, 2, 54, 35, 16, 41, 36, 33, 4, 33, 14, 21, 48, 20, 56, 8, 7, 3, 17]",47.81,10,0
C00013,"[33, 48, 12, 59, 51, 22, 55, 22, 46, 30, 38, 38, 45, 51, 54, 8, 27, 27, 34, 21, 30, 33, 28, 47, 33, 5, 48, 19, 4, 35]",29.22,11,0
C00014,"[49, 17, 44, 28, 30, 29, 46, 53, 6, 35, 41, 37, 24, 29, 49, 46, 53, 31, 35, 33, 52, 21, 32, 23, 33, 3, 18, 25, 42, 31]",34.26,23,0
C00015,"[54, 58, 3, 40, 46, 24, 50, 32, 47, 22, 23, 2, 27, 42, 2, 26, 17, 40, 33, 9, 43, 54, 48, 39, 29, 42, 55, 26, 35, 50]",17.2,3,0
C00016,"[25, 24, 13, 58, 7, 57, 36, 45, 20, 1, 8, 46, 16, 14, 12, 51, 23, 15, 28, 34, 2, 32, 23, 22, 51, 25, 58, 22, 58, 58]",19.39,17,1
C00017,"[22, 49, 52, 42, 6, 15, 54, 43, 37, 33, 8, 53, 44, 44, 5, 39, 4, 6, 45, 32, 52, 30, 47, 35, 55, 40, 52, 16, 13, 50]",36.87,22,0
C00018,"[42, 30, 19, 17, 56, 19, 28, 58, 55, 26, 37, 26, 53, 23, 9, 12, 53, 1, 58, 58, 1, 47, 34, 32, 54, 48, 25, 40, 45, 53]",46.42,27,0
C00019,"[1, 16, 39, 5, 22, 29, 55, 3, 12, 26, 16, 51, 37, 22, 57, 29, 14, 28, 5, 47, 49, 30, 46, 52, 5, 12, 16, 26, 26, 48]",31.63,16,0
C00020,"[21, 39, 36, 33, 30, 37, 23, 58, 10, 54, 5, 36, 34, 52, 31, 10, 58, 19, 58, 32, 1, 56, 5, 45, 4, 16, 24, 16, 55, 2]",39.6,16,0
C00021,"[49, 28, 32, 27, 20, 24, 12, 50, 35, 33, 33, 51, 43, 37, 12, 3, 1, 33, 40, 10, 43, 44, 29, 13, 12, 31, 46, 2, 51, 50]",9.0,3,1
C00022,"[35, 23, 17, 26, 8, 29, 26, 10, 26, 34, 51, 41, 7, 4, 58, 53, 50, 45, 11, 29, 56, 36, 25, 21, 57, 36, 10, 37, 9, 24]",10.99,33,0
C00023,"[35, 49, 35, 48, 36, 18, 49, 39, 32, 24, 23, 32, 37, 12, 49, 55, 13, 23, 25, 35, 41, 30, 17, 49, 20, 48, 25, 22, 13, 59]",26.84,2,0
C00024,"[19, 49, 36, 12, 41, 19, 12, 9, 7, 28, 14, 31, 52, 19, 58, 47, 16, 53, 5, 35, 12, 25, 52, 59, 21, 36, 53, 23, 16, 57]",9.24,27,1
C00025,"[39, 45, 53, 42, 58, 39, 14, 31, 58, 5, 35, 23, 29, 43, 11, 18, 47, 12, 9, 10, 58, 44, 17, 38, 7, 46, 13, 40, 42, 9]",31.93,15,1
C00026,"[50, 27, 58, 2, 5, 29, 37, 38, 19, 8, 48, 45, 1, 22, 52, 17, 7, 25, 45, 4, 36, 6, 31, 19, 44, 54, 39, 27, 10, 26]",14.94,7,0
C00027,"[19, 39, 3, 45, 13, 50, 28, 58, 20, 28, 8, 41, 39, 1, 3, 13, 28, 57, 49, 25, 56, 33, 38, 53, 6, 58, 44, 45, 32, 45]",39.68,9,0
C00028,"[47, 21, 16, 54, 21, 11, 37, 36, 35, 19, 20, 57, 18, 47, 41, 49, 14, 15, 31, 1, 53, 54, 54, 3, 16, 23, 57, 11, 12, 10]",40.5,6,0
C00029,"[32, 16, 8, 38, 12, 24, 28, 53, 8, 58, 28, 36, 26, 8, 58, 50, 28, 28, 37, 41, 36, 27, 54, 17, 9, 33, 53, 20, 13, 28]",23.46,12,0
C00030,"[48, 29, 13, 46, 35, 6, 18, 51, 5, 47, 25, 2, 10, 56, 30, 50, 59, 45, 5, 55, 56, 33, 54, 1, 18, 32, 47, 49, 11, 21]",9.45,30,1
C00031,"[26, 25, 22, 59, 27, 49, 13, 33, 34, 41, 35, 1, 21, 48, 55, 6, 28, 17, 5, 31, 5, 38, 3, 53, 23, 37, 53, 37, 10, 10]",32.52,20,0
C00032,"[19, 17, 21, 14, 9, 46, 1, 51, 45, 13, 4, 1, 49, 40, 32, 34, 28, 31, 8, 39, 26, 58, 34, 54, 54, 3, 59, 50, 12, 1]",49.64,20,0
C00033,"[54, 44, 5, 30, 30, 59, 57, 17, 48, 47, 23, 15, 37, 21, 14, 2, 11, 51, 39, 38, 34, 38, 50, 34, 18, 30, 15, 27, 51, 34]",31.32,27,0
C00034,"[52, 57, 38, 33, 24, 15, 30, 55, 42, 51, 17, 5, 29, 4, 10, 56, 17, 10, 17, 20, 24, 5, 34, 6, 53, 2, 13, 43, 43, 48]",2.27,20,0
C00035,"[11, 51, 47, 57, 23, 55, 16, 31, 11, 54, 16, 8, 4, 40, 4, 56, 25, 3, 32, 3, 27, 29, 32, 50, 58, 51, 19, 21, 5, 18]",1.36,7,0
C00036,"[28, 42, 22, 21, 6, 1, 5, 41, 12, 26, 46, 34, 49, 14, 26, 45, 27, 9, 26, 57, 47, 57, 22, 47, 56, 30, 43, 48, 17, 26]",16.36,30,0
C00037,"[36, 1, 8, 49, 35, 52, 15, 47, 56, 22, 14, 26, 28, 23, 14, 24, 2, 45, 26, 14, 59, 56, 51, 7, 3, 47, 23, 46, 43, 47]",10.19,8,0
C00038,"[45, 18, 58, 38, 35, 51, 15, 25, 55, 37, 28, 10, 39, 57, 17, 39, 22, 26, 44, 25, 17, 13, 20, 25, 4, 10, 3, 41, 45, 18]",40.75,2,0
C00039,"[47, 36, 47, 22, 34, 47, 8, 40, 49, 44, 19, 42, 41, 37, 6, 52, 26, 34, 59, 56, 59, 45, 6, 37, 57, 33, 53, 22, 21, 6]",42.32,14,1
C00040,"[6, 55, 48, 4, 30, 11, 30, 31, 24, 55, 9, 55, 3, 51, 31, 40, 37, 36, 24, 31, 6, 2, 20, 28, 11, 4, 15, 6, 54, 49]",13.3,10,0
